regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,301  Amberg-Sulzbach,302  Cham,303  Neumarkt i.d.OPf.,304  Regensburg-Land,305  Regensburg-Stadt,306  Schwandorf,307  Tirschenreuth,308  Weiden i.d.OPf.
903,2,SPD,2,"Wild, Margit",3,2,L,16.184,6.381,572,315,423,3.248,9.803*,976,148,699
903,2,SPD,3,"Bergmann, Uwe",2,3,,15.381,4.297,11.084*,134,245,247,494,552,168,2.457
903,2,SPD,4,"Wein, Peter",4,4,,11.069,1.716,387,169,148,364,451,9.353*,58,139
903,2,SPD,5,"Deiml, Jutta",5,5,,8.255,2.222,367,99,342,138,330,373,6.033*,573
903,2,SPD,6,"Jobst, Matthias",6,6,,7.980,1.659,81,53,87,6.321*,1.169,158,35,76
903,2,SPD,7,"Rüger, Dr. Armin",10,7,,5.898,5.898,5.090,49,158,78,237,141,46,99
903,2,SPD,8,"Madeisky, Andre",8,8,,5.132,515,146,30,4.617*,40,132,61,46,60
903,2,SPD,9,"Kopp, Franz",7,9,,4.356,536,59,3.820*,24,50,80,253,27,43
903,2,SPD,10,"Tasali-Stoll, Dr. Sema",15,10,,3.423,3.423,68,34,72,67,192,88,234,2.668
903,2,SPD,11,"Thanheiser, Evi",11,11,,3.109,3.109,163,45,49,55,140,2.431,25,201
903,2,SPD,12,"Wagner, Dr. Carolin",9,12,,2.170,2.170,74,30,49,329,1.442,159,23,64
903,2,SPD,13,"Meier, Sebastian",16,13,,1.889,1.889,28,1.647,18,27,54,57,12,46
903,2,SPD,14,"Lutz, Petra",13,14,,1.347,1.347,36,19,315,729,113,55,41,39
903,2,SPD,15,"Eisinger, Philipp",14,15,,1.285,1.285,13,2,1.185,7,16,14,9,39
903,2,SPD,16,"Bittner, Raphael",12,16,,1.030,1.030,51,13,38,34,87,51,403,353
903,2,SPD,,,,,,,,,,,,,,,
903,2,SPD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,406,406,81,28,31,29,66,76,22,73
903,2,SPD,,Erststimmen insgesamt,,,,60.025,-,11.084,3.820,4.617,6.321,9.803,9.353,6.033,8.994
903,2,SPD,,Zweitstimmen insgesamt,,,,57.748,57.748,10.421,3.702,4.719,6.834,8.332,8.365,7.746,7.629
903,2,SPD,,Gesamtstimmen,,,,117.773,57.748,21.505,7.522,9.336,13.155,18.135,17.718,13.779,16.623
903,3,Freie Wähler,1,"Hanisch, Joachim",1,1,L,34.915,21.718,3.082,3.509,3.025,4.720,3.200,13.197*,2.282,1.900
903,3,Freie Wähler,2,"Gotthardt, Tobias",2,2,L,23.330,5.873,417,139,502,17.457*,1.080,3.607,55,73
903,3,Freie Wähler,3,"Radler, Kerstin",4,3,L,17.379,7.537,536,532,771,4.351,9.842*,772,319,256
903,3,Freie Wähler,4,"Riedl, Robert",3,4,,15.563,3.359,385,12.204*,406,848,644,527,316,233
903,3,Freie Wähler,5,"Sitter, Alexandra",7,5,,12.419,1.398,11.021*,101,246,216,315,274,122,124
903,3,Freie Wähler,6,"Weidacher, Dr. (Univ. Florenz) Herbert",14,6,,10.442,10.442,78,9.350,112,164,187,387,60,104
903,3,Freie Wähler,7,"Penkala, Matthias",6,7,,10.152,376,74,24,9.776*,86,82,49,29,32
903,3,Freie Wähler,8,"Schmidt, Bernhard",5,8,,9.993,1.166,131,48,78,102,110,134,8.827*,563
903,3,Freie Wähler,9,"Meier, Karl",8,9,,9.453,3.180,250,62,105,93,129,244,2.297,6.273*
903,3,Freie Wähler,10,"Strobl, Julia",11,10,,7.468,7.468,996,216,5.100,425,276,190,151,114
903,3,Freie Wähler,11,"Jäger, Alfred",16,11,,5.192,5.192,335,149,181,236,104,3.998,90,99
903,3,Freie Wähler,12,"Hetznegger, Manfred",13,12,,4.080,4.080,67,88,109,1.375,2.260,133,29,19
903,3,Freie Wähler,13,"Landsmann, Hans-Peter",15,13,,3.275,3.275,32,67,39,2.707,358,45,13,14
903,3,Freie Wähler,14,"Groß, Tobias",9,14,,3.271,3.271,104,60,98,175,126,122,209,2.377
903,3,Freie Wähler,15,"Riedl, Thomas",12,15,,2.828,2.828,183,195,57,72,58,50,1.951,262
903,3,Freie Wähler,16,"Lehnerer, Doris",10,16,,2.517,2.517,2.097,34,62,96,78,59,43,48
903,3,Freie Wähler,,,,,,,,,,,,,,,
903,3,Freie Wähler,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,431,431,64,52,48,64,48,72,31,52
903,3,Freie Wähler,,Erststimmen insgesamt,,,,88.597,-,11.021,12.204,9.776,17.457,9.842,13.197,8.827,6.273
903,3,Freie Wähler,,Zweitstimmen insgesamt,,,,84.111,84.111,8.831,14.626,10.939,15.730,9.055,10.663,7.997,6.270
903,3,Freie Wähler,,Gesamtstimmen,,,,172.708,84.111,19.852,26.830,20.715,33.187,18.897,23.860,16.824,12.543
903,4,Grüne,1,"Mistol, Jürgen",1,1,L,50.451,27.957,4.052,2.533,4.625,8.171,22.494*,3.579,2.133,2.864
903,4,Grüne,2,"Toman, Anna",2,2,L,16.193,11.206,550,236,503,574,8.211,392,4.987*,740
903,4,Grüne,3,"Stadler, Josef",12,3,,13.040,1.504,92,129,93,11.536*,1.041,70,33,46
903,4,Grüne,4,"Ebenburger, Dr. Klaus",10,4,,11.313,2.470,8.843*,106,328,229,975,307,164,361
903,4,Grüne,5,"Bergmann, Klaus",8,5,,11.151,5.109,484,197,482,517,1.956,271,1.202,6.042*
903,4,Grüne,6,"Hauff, Siegfried",16,6,,8.845,120,17,5,8.725*,12,42,13,14,17
903,4,Grüne,7,"Doblinger, Michael",6,7,,8.249,3.070,272,5.179*,304,409,1.567,248,109,161
903,4,Grüne,8,"Quaas, Benjamin",4,8,,6.999,644,62,22,55,94,316,6.355*,56,39
903,4,Grüne,9,"Winklmann, Tina",3,9,,4.968,4.968,402,240,263,316,1.369,1.907,228,243
903,4,Grüne,10,"Zeichinger, Veronika",9,10,,4.036,4.036,32,26,32,287,3.549,55,20,35
903,4,Grüne,11,"Rösel, Yvonne",5,11,,3.813,3.813,3.120,25,112,76,315,49,56,60
903,4,Grüne,12,"Mölders, Petra",11,12,,3.671,3.671,136,2.174,180,178,659,176,80,88
903,4,Grüne,13,"Borke-Thoma, Eva",7,13,,3.662,3.662,101,54,2.848,94,396,56,74,39
903,4,Grüne,14,"Schuhmacher, Sonja",15,14,,2.647,2.647,150,29,79,66,213,126,470,1.514
903,4,Grüne,15,"Wein, Marie",13,15,,2.104,2.104,178,95,232,544,673,165,107,110
903,4,Grüne,16,"Schüßler, Mathias",14,16,,526,526,63,34,74,37,118,27,109,64
903,4,Grüne,,,,,,,,,,,,,,,
903,4,Grüne,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,536,536,83,30,67,50,168,52,41,45
903,4,Grüne,,Erststimmen insgesamt,,,,74.161,-,8.843,5.179,8.725,11.536,22.494,6.355,4.987,6.042
903,4,Grüne,,Zweitstimmen insgesamt,,,,78.043,78.043,9.794,5.935,10.277,11.654,21.568,7.493,4.896,6.426
903,4,Grüne,,Gesamtstimmen,,,,152.204,78.043,18.637,11.114,19.002,23.190,44.062,13.848,9.883,12.468
903,5,FDP,1,"Skutella, Christoph",1,1,L,7.628,4.749,721,402,499,691,1.133,625,678,2.879*
903,5,FDP,2,"Vo, Huu Loi",2,2,,6.418,1.869,155,119,193,616,4.549*,214,68,504
903,5,FDP,3,"Lederer, Ingo",15,3,,3.727,457,35,20,38,3.270*,224,103,9,28
903,5,FDP,4,"Enger, Dr. Ilka",7,4,,3.656,3.656,214,158,253,661,1.778,259,101,232
903,5,FDP,5,"Stuiber, Alfred",5,5,,3.557,919,70,2.638*,94,158,216,210,60,111
903,5,FDP,6,"Gründer, Nils",3,6,,3.488,1.220,256,71,2.268*,129,361,111,90,202
903,5,FDP,7,"Hochholdinger, Markus",9,7,,3.301,493,2.808*,27,103,42,88,112,30,91
903,5,FDP,8,"Grahn, Wolf-Dieter",13,8,,2.801,350,103,28,25,38,64,2.451*,25,67
903,5,FDP,9,"Heinrich, Reinhard",12,9,,1.999,455,41,23,49,56,160,37,1.544*,89
903,5,FDP,10,"Kraus, Ulrich",11,10,,1.495,1.495,52,1.023,55,77,115,95,33,45
903,5,FDP,11,"Burger-Sippl, Silvia",4,11,,1.457,1.457,57,23,1.060,65,135,41,15,61
903,5,FDP,12,"Taubmann, Kilian",10,12,,1.198,1.198,802,22,61,59,128,47,31,48
903,5,FDP,13,"Behrendt, Joachim",8,13,,1.085,1.085,147,42,50,61,89,66,63,567
903,5,FDP,14,"Kremser, Reinhard",6,14,,759,759,45,36,143,249,184,40,18,44
903,5,FDP,15,"Hubmann, Alexander",16,15,,707,707,101,14,53,38,59,23,283,136
903,5,FDP,16,"Wilka, Mathilde",14,16,,522,522,29,42,17,34,59,230,10,101
903,5,FDP,,,,,,,,,,,,,,,
903,5,FDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,126,126,20,10,15,14,27,12,6,22
903,5,FDP,,Erststimmen insgesamt,,,,22.407,-,2.808,2.638,2.268,3.270,4.549,2.451,1.544,2.879
903,5,FDP,,Zweitstimmen insgesamt,,,,21.517,21.517,2.848,2.060,2.708,2.988,4.820,2.225,1.520,2.348
903,5,FDP,,Gesamtstimmen,,,,43.924,21.517,5.656,4.698,4.976,6.258,9.369,4.676,3.064,5.227
903,6,Die Linke,1,"Brey, Marius Josef",1,1,,5.919,4.301,736,1.618*,445,522,1.180,763,294,361
903,6,Die Linke,2,"Maxim, Ursula",2,2,,5.554,3.227,305,604,326,2.327*,1.224,445,150,173
903,6,Die Linke,3,"Spieß, Richard",13,3,,5.380,878,105,65,94,408,4.502*,85,61,60
903,6,Die Linke,4,"Kappl, Eva",3,4,,3.768,1.296,232,215,105,221,321,2.472*,79,123
903,6,Die Linke,5,"Berndt, Wolfgang",6,5,,2.941,219,2.722*,17,32,39,53,38,16,24
903,6,Die Linke,6,"Emmerling, Tobias",8,6,,2.628,619,58,41,2.009*,130,290,58,20,22
903,6,Die Linke,7,"Zant, Ali Daniel",4,7,,2.552,824,111,34,41,62,132,59,385,1.728*
903,6,Die Linke,8,"Weidner, Christian",12,8,,2.300,876,90,17,21,22,34,41,1.424*,651
903,6,Die Linke,9,"Hundt, Sarah",16,9,,1.031,1.031,90,63,64,142,395,179,56,42
903,6,Die Linke,10,"Decker, Marian",15,10,,843,843,58,35,47,199,399,57,28,20
903,6,Die Linke,11,"Schmidt, Philipp",10,11,,784,784,54,23,574,27,39,26,15,26
903,6,Die Linke,12,"Schienhammer, Nadine",5,12,,740,740,289,14,104,54,94,47,111,27
903,6,Die Linke,13,"Schwarz, Jan",9,13,,506,506,53,26,63,85,151,55,26,47
903,6,Die Linke,14,"Sivan, Martina",7,14,,456,456,52,68,20,54,101,80,29,52
903,6,Die Linke,15,"Oberthür, Christian",14,15,,390,390,32,110,27,51,77,58,17,18
903,6,Die Linke,16,"Fleisser, Karl",11,16,,369,369,42,39,15,34,44,136,22,37
903,6,Die Linke,,,,,,,,,,,,,,,
903,6,Die Linke,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,92,92,19,7,5,14,22,11,5,9
903,6,Die Linke,,Erststimmen insgesamt,,,,18.802,-,2.722,1.618,2.009,2.327,4.502,2.472,1.424,1.728
903,6,Die Linke,,Zweitstimmen insgesamt,,,,17.451,17.451,2.326,1.378,1.983,2.064,4.556,2.138,1.314,1.692
903,6,Die Linke,,Gesamtstimmen,,,,36.253,17.451,5.048,2.996,3.992,4.391,9.058,4.610,2.738,3.420
903,7,Bayern Partei,1,"Suttner, Werner",1,1,,3.852,2.706,309,272,367,801,1.146*,382,363,212
903,7,Bayern Partei,2,"Schmieder, Maximilian",3,2,,3.789,2.298,336,137,302,158,161,387,1.491*,817
903,7,Bayern Partei,3,"Ringelmann, Petra",2,3,,2.832,1.791,61,983,67,76,256,145,203,1.041*
903,7,Bayern Partei,4,"Weber, Alexander",8,4,,2.351,285,46,23,32,72,34,2.066*,51,27
903,7,Bayern Partei,5,"Mrozek, Markus",5,5,,2.310,385,1.925*,15,91,14,23,87,110,45
903,7,Bayern Partei,6,"Schweikl, Alexander",6,6,,2.103,274,34,1.829*,54,42,32,47,44,21
903,7,Bayern Partei,7,"Smolevska, Natalie",4,7,,1.934,192,26,8,17,1.742*,92,14,21,14
903,7,Bayern Partei,8,"Koll-Pfeifer, Alexander",7,8,,1.851,369,75,49,1.482*,32,26,56,90,41
903,7,Bayern Partei,9,"Weinfurtner, Markus",11,9,,942,942,37,589,48,45,28,142,33,20
903,7,Bayern Partei,10,"Bachmann, Peter",14,10,,666,666,530,5,20,11,8,57,18,17
903,7,Bayern Partei,11,"Eberhardt, Peter",12,11,,665,665,22,7,15,47,13,513,41,7
903,7,Bayern Partei,12,"Karl, Gerhard",16,12,,626,626,29,19,105,120,218,49,64,22
903,7,Bayern Partei,13,"Schindler, Thomas",10,13,,529,529,22,23,34,260,103,40,25,22
903,7,Bayern Partei,14,"Oel, Berthold",13,14,,442,442,25,7,107,210,24,32,25,12
903,7,Bayern Partei,15,"Lang, Magdalena",15,15,,378,378,25,20,34,143,64,34,34,24
903,7,Bayern Partei,16,"Prensky, Michael",9,16,,340,340,201,6,32,22,10,46,18,5
903,7,Bayern Partei,,,,,,,,,,,,,,,
903,7,Bayern Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,59,59,12,5,6,9,4,5,6,12
903,7,Bayern Partei,,Erststimmen insgesamt,,,,12.722,-,1.925,1.829,1.482,1.742,1.146,2.066,1.491,1.041
903,7,Bayern Partei,,Zweitstimmen insgesamt,,,,12.947,12.947,1.790,2.168,1.331,2.062,1.096,2.036,1.146,1.318
903,7,Bayern Partei,,Gesamtstimmen,,,,25.669,12.947,3.715,3.997,2.813,3.804,2.242,4.102,2.637,2.359
903,8,ÖDP,1,"Mrasek, Klaus",1,1,,3.886,1.999,1.887*,159,359,280,447,397,140,217
903,8,ÖDP,2,"Suttner, Benedikt",4,2,,3.029,943,85,82,84,478,2.086*,118,34,62
903,8,ÖDP,3,"Kindl, Dr. Barbara",2,3,,2.778,1.574,416,88,118,148,264,388,152,1.204*
903,8,ÖDP,4,"Mauch, Dr. Thomas",5,4,,2.180,370,26,10,29,1.810*,239,40,3,23
903,8,ÖDP,5,"Damm, Alfred",3,5,,2.006,91,33,9,8,10,10,1.915*,5,16
903,8,ÖDP,6,"Neumeyer, Joseph",7,6,,1.402,161,23,12,1.241*,28,53,25,5,15
903,8,ÖDP,7,"Kunz, Theresia",6,7,,1.253,469,71,21,52,64,96,56,784*,109
903,8,ÖDP,8,"Badura, Franz",11,8,,1.194,1.194,1.002,13,37,25,53,33,12,19
903,8,ÖDP,9,"Eckl, Heidi",10,9,,918,918,42,14,15,19,37,740,12,39
903,8,ÖDP,10,"Meissner, Ruth",8,10,,844,71,14,773*,4,10,17,14,6,6
903,8,ÖDP,11,"Wiest, Claudia",9,11,,695,695,11,34,15,437,151,28,7,12
903,8,ÖDP,12,"Schönfelder-Hans, Monika",15,12,,578,578,49,9,476,6,21,9,4,4
903,8,ÖDP,13,"Eberhardt, Hannes",13,13,,563,563,3,3,10,44,480,14,5,4
903,8,ÖDP,14,"Scheingraber, Dr. Stefan",14,14,,558,558,14,440,12,18,17,35,9,13
903,8,ÖDP,15,"Hartung, Andreas",16,15,,362,362,19,11,26,25,37,90,20,134
903,8,ÖDP,16,"Schmid, Gerald",12,16,,229,229,11,7,5,8,16,13,152,17
903,8,ÖDP,,,,,,,,,,,,,,,
903,8,ÖDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,54,54,6,2,6,8,11,14,3,4
903,8,ÖDP,,Erststimmen insgesamt,,,,11.700,-,1.887,773,1.241,1.810,2.086,1.915,784,1.204
903,8,ÖDP,,Zweitstimmen insgesamt,,,,10.829,10.829,1.825,914,1.256,1.608,1.949,2.014,569,694
903,8,ÖDP,,Gesamtstimmen,,,,22.529,10.829,3.712,1.687,2.497,3.418,4.035,3.929,1.353,1.898
903,9,Piraten,1,"Kramm, Andreas",1,1,,1.426,769,152,89,155,158,657*,65,74,76
903,9,Piraten,2,"Stenzel, Tobias",2,2,,1.007,653,74,38,59,65,253,85,79,354*
903,9,Piraten,3,"Terbeznik, Klaus",3,3,,588,206,31,24,29,23,34,382*,9,56
903,9,Piraten,4,"Graßler, Katharina",4,4,,569,569,51,37,77,86,197,44,22,55
903,9,Piraten,5,"Heuer, Steffen",6,5,,302,302,19,16,29,33,154,18,14,19
903,9,Piraten,6,"Lang, Peter",5,6,,287,287,32,14,20,18,30,125,9,39
903,9,Piraten,,,,,,,,,,,,,,,
903,9,Piraten,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,29,29,2,2,1,7,5,2,6,4
903,9,Piraten,,Erststimmen insgesamt,,,,1.393,-,-,-,-,-,657,382,-,354
903,9,Piraten,,Zweitstimmen insgesamt,,,,2.815,2.815,361,220,370,390,673,339,213,249
903,9,Piraten,,Gesamtstimmen,,,,4.208,2.815,361,220,370,390,1.330,721,213,603
903,11,Afd,1,"Magerl, Roland",1,1,L,31.293,23.365,3.753,3.874,2.510,3.148,2.441,4.038,3.601,7.928*
903,11,Afd,2,"Löw, Stefan",3,2,L,22.918,16.243,2.016,2.093,1.767,2.105,1.902,2.229,6.675*,4.131
903,11,Afd,3,"Nolte, Benjamin",2,3,,20.884,12.361,1.130,1.723,1.414,4.022,8.523*,1.832,549,1.691
903,11,Afd,4,"Marino, Claudia",4,4,,17.457,8.083,9.374*,1.054,1.022,641,579,1.154,1.782,1.851
903,11,Afd,5,"Arnold, Dieter",6,5,,17.217,5.668,241,1.023,359,11.549*,2.864,946,137,98
903,11,Afd,6,"Lankes, Josef",8,6,,17.047,5.431,673,11.616*,665,1.187,442,1.702,458,304
903,11,Afd,7,"Mixl, Reinhard",5,7,,14.729,2.988,890,1.324,136,221,209,11.741*,107,101
903,11,Afd,8,"Meier, Werner",7,8,,9.453,1.829,808,155,7.624*,323,186,219,65,73
903,11,Afd,,,,,,,,,,,,,,,
903,11,Afd,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,298,298,69,33,22,46,54,34,20,20
903,11,Afd,,Erststimmen insgesamt,,,,75.030,-,9.374,11.616,7.624,11.549,8.523,11.741,6.675,7.928
903,11,Afd,,Zweitstimmen insgesamt,,,,76.266,76.266,9.580,11.279,7.895,11.693,8.677,12.154,6.719,8.269
903,11,Afd,,Gesamtstimmen,,,,151.296,76.266,18.954,22.895,15.519,23.242,17.200,23.895,13.394,16.197
903,13,mut,1,"Zimmermann, Prof. Hansjoerg",1,1,,1.026,473,73,57,77,97,553*,65,37,67
903,13,mut,2,"Geiger, Alexandra",2,2,,996,558,27,30,33,438*,386,41,15,26
903,13,mut,3,"Bortner, Reinhold",5,3,,306,306,24,1,0,0,4,13,24,240
903,13,mut,4,"Schmid, Helena",16,4,,223,223,13,21,11,71,50,32,7,18
903,13,mut,5,"Seiche, Julia",4,5,,159,159,15,8,4,48,50,15,9,10
903,13,mut,6,"Baumer, Ulla Britta",8,6,,152,152,7,1,4,2,9,5,114,10
903,13,mut,7,"Kosak, Ferdinand",3,7,,137,137,3,3,10,34,70,8,1,8
903,13,mut,8,"Vielsmaier, Florian",7,8,,119,119,5,16,6,32,45,6,7,2
903,13,mut,9,"Kugler, Lisa",14,9,,103,103,9,7,8,21,41,4,3,10
903,13,mut,10,"Mücke, Anna-Maria",6,10,,94,94,6,11,2,21,33,13,3,5
903,13,mut,11,"Franzen, Laura",12,11,,75,75,7,7,7,16,22,7,5,4
903,13,mut,12,"Krieg, Frank",13,12,,69,69,3,43,3,4,11,3,2,0
903,13,mut,13,"Polzer, Lisa",10,13,,62,62,5,2,4,12,24,8,4,3
903,13,mut,14,"Pizzuto, Franco",11,14,,24,24,1,1,1,5,11,3,0,2
903,13,mut,15,"Müller, Dominik",15,15,,22,22,2,1,1,8,5,1,1,3
903,13,mut,16,"Franzen, Janis",9,16,,12,12,0,0,1,2,7,2,0,0
903,13,mut,,,,,,,,,,,,,,,
903,13,mut,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,20,20,5,0,2,1,2,5,3,2
903,13,mut,,Erststimmen insgesamt,,,,991,-,-,-,-,438,553,-,-,-
903,13,mut,,Zweitstimmen insgesamt,,,,2.608,2.608,205,209,174,374,770,231,235,410
903,13,mut,,Gesamtstimmen,,,,3.599,2.608,205,209,174,812,1.323,231,235,410
903,15,Die Partei,1,"Hartl, Maximilian",1,1,,1.242,1.242,221,84,193,162,235,126,115,106
903,15,Die Partei,2,"Frank, Ingo",2,2,,1.159,253,43,17,52,44,906*,41,21,35
903,15,Die Partei,3,"Baumann, Christian",8,3,,755,755,83,197,81,72,131,87,55,49
903,15,Die Partei,4,"Porsch, Milena",4,4,,501,501,79,31,69,72,126,53,44,27
903,15,Die Partei,5,"Bayer, Melody",5,5,,433,433,81,16,66,51,124,36,26,33
903,15,Die Partei,6,"Seidl, Anton",3,6,,333,333,43,20,45,24,135,22,18,26
903,15,Die Partei,7,"Sindersberger, Karin",7,7,,275,275,47,10,39,38,64,25,21,31
903,15,Die Partei,8,"Schwaiger, Stefan",6,8,,135,135,22,4,20,17,35,20,10,7
903,15,Die Partei,,,,,,,,,,,,,,,
903,15,Die Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,21,21,4,0,3,3,2,2,3,4
903,15,Die Partei,,Erststimmen insgesamt,,,,906,-,-,-,-,-,906,-,-,-
903,15,Die Partei,,Zweitstimmen insgesamt,,,,3.948,3.948,623,379,568,483,852,412,313,318
903,15,Die Partei,,Gesamtstimmen,,,,4.854,3.948,623,379,568,483,1.758,412,313,318
903,16,Gesundheitsforschung,1,"Kellner, Christine",1,1,,834,535,99,50,299*,66,78,89,77,76
903,16,Gesundheitsforschung,2,"Li, Yue",3,2,,237,237,32,26,56,29,32,25,19,18
903,16,Gesundheitsforschung,3,"Schmidtke, Udo",4,3,,145,145,22,12,31,14,17,19,11,19
903,16,Gesundheitsforschung,4,"Pudlo, Fabian",2,4,,144,144,11,2,57,17,18,15,11,13
903,16,Gesundheitsforschung,,,,,,,,,,,,,,,
903,16,Gesundheitsforschung,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,11,11,0,0,2,3,1,3,1,1
903,16,Gesundheitsforschung,,Erststimmen insgesamt,,,,299,-,-,-,299,-,-,-,-,-
903,16,Gesundheitsforschung,,Zweitstimmen insgesamt,,,,1.072,1.072,164,90,146,129,146,151,119,127
903,16,Gesundheitsforschung,,Gesamtstimmen,,,,1.371,1.072,164,90,445,129,146,151,119,127
903,18,V-Partei,1,"Pedanova, Andrea",1,1,,1.233,997,123,236*,138,230,179,147,100,80
903,18,V-Partei,2,"Knauer, Beate",2,2,,752,490,47,213,42,262*,84,45,31,28
903,18,V-Partei,,,,,,,,,,,,,,,
903,18,V-Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,21,21,2,3,1,3,3,6,0,3
903,18,V-Partei,,Erststimmen insgesamt,,,,498,-,-,236,-,262,-,-,-,-
903,18,V-Partei,,Zweitstimmen insgesamt,,,,1.508,1.508,172,216,181,233,266,198,131,111
903,18,V-Partei,,Gesamtstimmen,,,,2.006,1.508,172,452,181,495,266,198,131,111
