regierungsbezirk-id,partei-id,partei-name,id,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,401  Bamberg-Land,402  Bamberg-Stadt,403  Bayreuth,404  Coburg,405  Forchheim,406  Hof,"407  Kronach, Lichtenfels","408  Wunsiedel, Kulmbach"
904,2,SPD,11,"Mielentz, Jörg",12,11,,4.789,4.789,25,32,80,42,46,3.623,53,888
904,2,SPD,12,"Müller, Sebastian",10,12,,3.287,3.287,48,75,45,270,35,50,2.663,101
904,2,SPD,13,"Müller, Miriam",11,13,,3.209,3.209,562,1.655,152,155,268,118,136,163
904,2,SPD,14,"Winkelmaier, Oliver",14,14,,1.945,1.945,19,23,1.632,45,119,26,26,55
904,2,SPD,15,"Schmidt, Richard",15,15,,1.342,1.342,34,29,60,52,1.024,37,55,51
904,2,SPD,16,"Berger, Joscha",16,16,,842,842,299,138,76,62,113,48,47,59
904,2,SPD,,,,,,,,,,,,,,,
904,2,SPD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,400,400,20,34,53,66,26,68,62,71
904,2,SPD,,Erststimmen insgesamt,,,,87.923,-,4.029,5.278,11.787,15.334,4.508,19.132,10.153,17.702
904,2,SPD,,Zweitstimmen insgesamt,,,,72.394,72.394,3.711,5.953,10.772,10.430,4.856,12.947,10.967,12.758
904,2,SPD,,Gesamtstimmen,,,,160.317,72.394,7.740,11.231,22.559,25.764,9.364,32.079,21.120,30.460
904,3,Freie Wähler,1,"Glauber, Thorsten",1,1,L,29.259,11.929,2.017,1.264,2.850,1.470,17.330*,1.336,1.444,1.548
904,3,Freie Wähler,2,"Ludwig, Rainer",2,2,L,15.817,4.574,162,127,815,255,1.211,577,1.427,11.243*
904,3,Freie Wähler,3,"Wiedemann, Florian",3,3,,12.844,2.040,165,161,10.804*,189,339,257,170,759
904,3,Freie Wähler,4,"Zwingmann, Michael",4,4,,10.062,1.381,61,58,146,378,125,134,8.681*,479
904,3,Freie Wähler,5,"Scheer, Verena",7,5,,8.774,2.333,6.441*,1.686,131,77,112,93,137,97
904,3,Freie Wähler,6,"Simmerlein, Elisabeth",6,6,,8.166,8.166,137,54,114,74,7.589,41,95,62
904,3,Freie Wähler,7,"Preißler, Maria",5,7,,6.760,1.293,112,81,223,5.467*,135,135,438,169
904,3,Freie Wähler,8,"Stetten von, Dr. Klaus",13,8,,6.316,6.316,55,62,330,98,145,933,103,4.590
904,3,Freie Wähler,9,"Grötsch, Hans Martin",8,9,,6.280,721,66,64,176,60,107,5.559*,85,163
904,3,Freie Wähler,10,"Lampl, Maria",10,10,,5.722,5.722,90,70,3.974,115,152,279,134,908
904,3,Freie Wähler,11,"Schutty, Dietmar",9,11,,5.029,1.364,839,3.665*,81,106,133,36,95,74
904,3,Freie Wähler,12,"Rödel, Peter",15,12,,3.985,3.985,54,35,98,64,58,3.451,74,151
904,3,Freie Wähler,13,"Deuerling, Georg",11,13,,3.539,3.539,88,40,70,111,53,50,2.876,251
904,3,Freie Wähler,14,"John, Claudia",14,14,,3.250,3.250,909,1.028,191,281,272,138,291,140
904,3,Freie Wähler,15,"Kräußlich, Max",16,15,,2.767,2.767,30,26,45,2.499,44,20,76,27
904,3,Freie Wähler,16,"Weber, Viktor",12,16,,774,774,240,412,26,9,26,19,21,21
904,3,Freie Wähler,,,,,,,,,,,,,,,
904,3,Freie Wähler,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,368,368,40,22,51,50,38,48,64,55
904,3,Freie Wähler,,Erststimmen insgesamt,,,,69.190,-,6.441,3.665,10.804,5.467,17.330,5.559,8.681,11.243
904,3,Freie Wähler,,Zweitstimmen insgesamt,,,,60.522,60.522,5.065,5.190,9.321,5.836,10.539,7.547,7.530,9.494
904,3,Freie Wähler,,Gesamtstimmen,,,,129.712,60.522,11.506,8.855,20.125,11.303,27.869,13.106,16.211,20.737
904,4,Grüne,1,"Sowa, Ursula",1,1,L,34.483,21.445,4.807,13.038*,3.828,2.470,3.411,2.040,2.498,2.391
904,4,Grüne,2,"Pargent, Tim",2,2,L,21.203,8.180,394,2.961,13.023*,613,674,1.089,676,1.773
904,4,Grüne,3,"Huber, Emmerich",4,3,,11.751,1.988,163,721,446,166,9.763*,170,175,147
904,4,Grüne,4,"Memmel, Edith",3,4,,11.493,3.550,199,740,610,1.124,253,245,7.943*,379
904,4,Grüne,5,"Lunz, Georg",10,5,,11.100,2.841,8.259*,1.975,226,112,191,75,164,98
904,4,Grüne,6,"Prechtel, Dr. Annette",7,6,,11.053,11.053,385,1.412,1.315,468,5.986,486,463,538
904,4,Grüne,7,"Sinterhauf, Ina",5,7,,10.896,1.367,95,255,190,9.529*,97,164,460,106
904,4,Grüne,8,"Gote, Ulrike",15,8,,8.978,8.978,112,602,5.687,232,207,742,278,1.118
904,4,Grüne,9,"Kukla, Wilfried",8,9,,8.538,321,12,36,73,13,19,154,14,8.217*
904,4,Grüne,10,"Brammer, Philipp",6,10,,7.522,1.313,47,250,325,114,131,6.209*,130,316
904,4,Grüne,11,"Benzel-Weyh, Martina",9,11,,5.480,5.480,58,219,170,4.610,88,66,215,54
904,4,Grüne,12,"Glüsenkamp, Jonas",16,12,,3.380,3.380,239,2.605,165,68,124,52,75,52
904,4,Grüne,13,"Artmann, Brigitte",11,13,,2.740,2.740,35,47,125,35,39,194,92,2.173
904,4,Grüne,14,"Motschmann, Valentin",14,14,,2.473,2.473,78,294,152,247,64,66,1.462,110
904,4,Grüne,15,"Wandel, Elisabeth",13,15,,1.775,1.775,47,107,135,61,69,1.225,58,73
904,4,Grüne,16,"Behr, Ralph",12,16,,1.426,1.426,462,358,193,76,128,72,78,59
904,4,Grüne,,,,,,,,,,,,,,,
904,4,Grüne,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,525,525,22,68,82,99,45,61,68,80
904,4,Grüne,,Erststimmen insgesamt,,,,75.981,-,8.259,13.038,13.023,9.529,9.763,6.209,7.943,8.217
904,4,Grüne,,Zweitstimmen insgesamt,,,,78.835,78.835,7.155,12.650,13.722,10.508,11.526,6.901,6.906,9.467
904,4,Grüne,,Gesamtstimmen,,,,154.816,78.835,15.414,25.688,26.745,20.037,21.289,13.110,14.849,17.684
904,5,FDP,1,"Körber, Sebastian",1,1,L,9.741,6.417,931,1.632,1.145,709,3.324*,697,606,697
904,5,FDP,2,"Pöhner, Martin",2,2,,5.816,2.749,706,3.067*,306,271,822,184,255,205
904,5,FDP,3,"Funke-Barjak, Luisa",7,3,,4.377,518,30,56,3.859*,49,54,115,57,157
904,5,FDP,4,"Otte, Michael",3,4,,3.873,674,48,91,205,86,98,65,81,3.199*
904,5,FDP,5,"Herbert, Dr. Ulrich",6,5,,3.759,955,61,113,149,2.804*,86,117,328,101
904,5,FDP,6,"Huttner, Dr. Stephan",13,6,,3.751,3.751,56,102,2.420,130,110,217,97,619
904,5,FDP,7,"Bischoff, Harald",4,7,,3.666,683,63,51,58,243,78,83,2.983*,107
904,5,FDP,8,"Wünsche, Martin",5,8,,3.478,486,2.992*,226,42,28,101,27,34,28
904,5,FDP,9,"Senf, Peter",8,9,,3.400,509,14,26,46,49,26,2.891*,37,311
904,5,FDP,10,"Wernsdörfer, Steffen",10,10,,2.624,2.624,470,963,224,187,229,161,222,168
904,5,FDP,11,"Schick, Stefan",12,11,,1.488,1.488,37,56,87,34,1.193,28,25,28
904,5,FDP,12,"Gebhard, Gerold",16,12,,1.137,1.137,13,15,21,1.002,8,13,37,28
904,5,FDP,13,"Froeschmann, Peter",14,13,,859,859,6,8,25,14,8,683,14,101
904,5,FDP,14,"Drechsler, Margit",9,14,,842,842,20,33,91,44,32,72,110,440
904,5,FDP,15,"Pflaum, Sebastian",11,15,,737,737,260,116,68,47,128,37,44,37
904,5,FDP,16,"Nehmzow, Irmgard",15,16,,306,306,15,20,23,11,7,10,190,30
904,5,FDP,,,,,,,,,,,,,,,
904,5,FDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,166,166,24,11,19,19,19,19,35,20
904,5,FDP,,Erststimmen insgesamt,,,,25.119,-,2.992,3.067,3.859,2.804,3.324,2.891,2.983,3.199
904,5,FDP,,Zweitstimmen insgesamt,,,,24.901,24.901,2.754,3.519,4.929,2.923,2.999,2.528,2.172,3.077
904,5,FDP,,Gesamtstimmen,,,,50.020,24.901,5.746,6.586,8.788,5.727,6.323,5.419,5.155,6.276
904,6,Die Linke,1,"Lehmann, Paul",1,1,,8.518,5.936,958,2.582*,1.237,643,895,788,639,776
904,6,Die Linke,2,"Tränkenschuh, Andreas",7,2,,3.263,1.676,1.587*,1.006,208,121,86,97,85,73
904,6,Die Linke,3,"Sommerer, Sebastian",4,3,,3.158,704,18,68,2.454*,20,36,102,22,438
904,6,Die Linke,4,"Bätz, Florian",9,4,,3.028,868,56,56,59,2.160*,34,83,513,67
904,6,Die Linke,5,"Frisch, Manuel",3,5,,2.650,510,22,53,95,25,30,2.140*,32,253
904,6,Die Linke,6,"Greim, Oswald",8,6,,2.480,221,12,33,51,11,38,49,27,2.259*
904,6,Die Linke,7,"Knoblach, Detlef",6,7,,2.384,572,40,98,106,71,49,99,1.812*,109
904,6,Die Linke,8,"Saeidi, Babette",2,8,,2.096,2.096,87,610,216,621,116,133,158,155
904,6,Die Linke,9,"Pätzke, Wilfried",10,9,,1.976,140,25,27,31,6,1.836*,14,16,21
904,6,Die Linke,10,"Baumgartner, Ludwig",11,10,,1.232,1.232,56,201,256,96,81,163,79,300
904,6,Die Linke,11,"Hähnlein, René",16,11,,943,943,9,21,23,789,4,22,57,18
904,6,Die Linke,12,"Schmittnägel, Gabriele",5,12,,617,617,32,31,46,25,32,379,23,49
904,6,Die Linke,13,"Warstat, Stefan",13,13,,538,538,19,32,55,35,31,63,255,48
904,6,Die Linke,14,"Zimmermann, Gerhard",12,14,,481,481,83,224,28,15,47,35,17,32
904,6,Die Linke,15,"Hluchy, Linus",14,15,,479,479,28,33,29,18,311,20,19,21
904,6,Die Linke,16,"Gellenthien, Tobias",15,16,,220,220,21,13,29,24,95,15,10,13
904,6,Die Linke,,,,,,,,,,,,,,,
904,6,Die Linke,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,89,89,5,13,23,11,4,8,10,15
904,6,Die Linke,,Erststimmen insgesamt,,,,16.830,-,1.587,2.582,2.454,2.160,1.836,2.140,1.812,2.259
904,6,Die Linke,,Zweitstimmen insgesamt,,,,17.322,17.322,1.471,2.519,2.492,2.531,1.889,2.070,1.962,2.388
904,6,Die Linke,,Gesamtstimmen,,,,34.152,17.322,3.058,5.101,4.946,4.691,3.725,4.210,3.774,4.647
904,7,Bayern Partei,1,"Wagner, Jürgen",1,1,,2.618,2.057,441,381,236,236,147,561*,294,322
904,7,Bayern Partei,2,"Zeigler, Christiane",6,2,,1.594,393,47,35,73,55,33,104,46,1.201*
904,7,Bayern Partei,3,"Sedlmeyer, Gunther",5,3,,1.439,331,1.108*,41,46,51,33,33,56,71
904,7,Bayern Partei,4,"Gerbig, Matthias",8,4,,1.325,562,110,119,51,54,55,73,763*,100
904,7,Bayern Partei,5,"Ehret, Alfred",3,5,,1.291,612,48,19,679*,32,352,63,45,53
904,7,Bayern Partei,6,"Voß, Torsten",7,6,,1.081,352,42,26,125,45,729*,34,32,48
904,7,Bayern Partei,7,"Dotzler, Thomas",2,7,,1.037,436,84,601*,45,37,27,148,39,56
904,7,Bayern Partei,8,"Suck, Frank",4,8,,986,459,153,47,40,527*,45,46,43,85
904,7,Bayern Partei,,,,,,,,,,,,,,,
904,7,Bayern Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,44,44,7,3,3,5,13,2,3,8
904,7,Bayern Partei,,Erststimmen insgesamt,,,,6.169,-,1.108,601,679,527,729,561,763,1.201
904,7,Bayern Partei,,Zweitstimmen insgesamt,,,,5.246,5.246,932,671,619,515,705,503,558,743
904,7,Bayern Partei,,Gesamtstimmen,,,,11.415,5.246,2.040,1.272,1.298,1.042,1.434,1.064,1.321,1.944
904,8,ÖDP,1,"Müller, Thomas",1,1,,2.709,1.374,156,205,211,242,177,113,1.335*,270
904,8,ÖDP,2,"Büchner, Lucas",7,2,,1.353,557,206,796*,52,116,84,16,55,28
904,8,ÖDP,3,"Büchner, Thomas",3,3,,1.274,162,13,48,12,1.112*,15,10,57,7
904,8,ÖDP,4,"Sieling, Tobias",4,4,,1.257,423,834*,152,53,52,49,14,70,33
904,8,ÖDP,5,"Forster, Manuela",2,5,,933,288,20,26,34,37,645*,22,129,20
904,8,ÖDP,6,"Englert, Reinhard",8,6,,824,193,3,4,6,8,5,7,160,631*
904,8,ÖDP,7,"Koppe, Bernd",6,7,,744,70,12,4,674*,15,12,7,6,14
904,8,ÖDP,8,"Schmidt, Stephan",5,8,,451,73,3,3,6,5,9,378*,14,33
904,8,ÖDP,9,"Raabs, Christoph",9,9,,448,448,10,16,16,370,8,7,17,4
904,8,ÖDP,10,"Grimm, Raphael",10,10,,411,411,63,172,23,39,45,16,25,28
904,8,ÖDP,11,"Lenk, Markus",14,11,,278,278,6,19,170,16,15,8,11,33
904,8,ÖDP,12,"Duppel, Ralf",12,12,,186,186,2,8,7,5,6,134,5,19
904,8,ÖDP,13,"Wilhelm, Simon",15,13,,146,146,7,5,10,6,109,2,5,2
904,8,ÖDP,14,"Pülz, Michael",16,14,,124,124,4,5,3,24,3,9,72,4
904,8,ÖDP,15,"Bachmeyer, Konrad",11,15,,113,113,4,3,31,3,1,6,4,61
904,8,ÖDP,16,"Dworazik, Dietmar",13,16,,73,73,38,25,0,2,3,1,2,2
904,8,ÖDP,,,,,,,,,,,,,,,
904,8,ÖDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,27,27,2,5,1,3,5,0,5,6
904,8,ÖDP,,Erststimmen insgesamt,,,,6.405,-,834,796,674,1.112,645,378,1.335,631
904,8,ÖDP,,Zweitstimmen insgesamt,,,,4.946,4.946,549,700,635,943,546,372,637,564
904,8,ÖDP,,Gesamtstimmen,,,,11.351,4.946,1.383,1.496,1.309,2.055,1.191,750,1.972,1.195
904,9,Piraten,1,"Rödel, Michael",1,1,,1.408,963,109,145,172,121,140,445*,109,167
904,9,Piraten,2,"Goßrau, Peter",2,2,,794,277,34,23,33,43,26,87,517*,31
904,9,Piraten,3,"Wagner, Karl",3,3,,534,534,46,41,59,40,40,180,53,75
904,9,Piraten,4,"Korb, Stephan",5,4,,433,433,19,14,30,32,20,249,28,41
904,9,Piraten,5,"Berek, Anita",6,5,,421,421,38,43,40,29,35,36,30,170
904,9,Piraten,6,"Leopold, Richard",4,6,,388,388,38,32,40,18,206,14,21,19
904,9,Piraten,7,"Steffen, Nico",9,7,,340,340,89,88,22,35,24,20,33,29
904,9,Piraten,8,"Rauh, Daniel",7,8,,316,316,16,9,12,14,9,7,235,14
904,9,Piraten,9,"Sturm, Holger",8,9,,179,179,10,9,17,7,15,99,9,13
904,9,Piraten,,,,,,,,,,,,,,,
904,9,Piraten,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,15,15,0,0,2,4,2,2,4,1
904,9,Piraten,,Erststimmen insgesamt,,,,962,-,-,-,-,-,-,445,517,-
904,9,Piraten,,Zweitstimmen insgesamt,,,,3.866,3.866,399,404,427,343,517,694,522,560
904,9,Piraten,,Gesamtstimmen,,,,4.828,3.866,399,404,427,343,517,1.139,1.039,560
904,9,Piraten,1,"Rödel, Michael",1,1,,1.408,963,109,145,172,121,140,445*,109,167
904,9,Piraten,2,"Goßrau, Peter",2,2,,794,277,34,23,33,43,26,87,517*,31
904,9,Piraten,3,"Wagner, Karl",3,3,,534,534,46,41,59,40,40,180,53,75
904,9,Piraten,4,"Korb, Stephan",5,4,,433,433,19,14,30,32,20,249,28,41
904,9,Piraten,5,"Berek, Anita",6,5,,421,421,38,43,40,29,35,36,30,170
904,9,Piraten,6,"Leopold, Richard",4,6,,388,388,38,32,40,18,206,14,21,19
904,9,Piraten,7,"Steffen, Nico",9,7,,340,340,89,88,22,35,24,20,33,29
904,9,Piraten,8,"Rauh, Daniel",7,8,,316,316,16,9,12,14,9,7,235,14
904,9,Piraten,9,"Sturm, Holger",8,9,,179,179,10,9,17,7,15,99,9,13
904,9,Piraten,,,,,,,,,,,,,,,
904,9,Piraten,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,15,15,0,0,2,4,2,2,4,1
904,9,Piraten,,Erststimmen insgesamt,,,,962,-,-,-,-,-,-,445,517,-
904,9,Piraten,,Zweitstimmen insgesamt,,,,3.866,3.866,399,404,427,343,517,694,522,560
904,9,Piraten,,Gesamtstimmen,,,,4.828,3.866,399,404,427,343,517,1.139,1.039,560
904,11,AfD,1,"Böhm, Martin",1,1,L,23.407,16.414,1.753,1.612,2.400,6.993*,1.894,2.122,4.318,2.315
904,11,AfD,2,"Schiffers, Jan",4,2,L,20.133,12.987,4.914,7.146*,1.312,1.414,2.193,1.073,1.203,878
904,11,AfD,3,"Köhler, Florian",7,3,,19.963,10.733,9.230*,4.213,1.107,962,1.528,752,1.023,1.148
904,11,AfD,4,"Wüst, Prof.Dr. Michael",6,4,,18.350,9.060,497,785,1.594,1.032,795,9.290*,896,3.461
904,11,AfD,5,"Kögler, Gerd",8,5,,15.339,4.931,129,85,531,85,110,3.797,194,10.408*
904,11,AfD,6,"Rauh, Detlef",2,6,,12.828,4.486,143,118,320,2.925,151,213,8.342*,616
904,11,AfD,7,"Rausch, Thomas",5,7,,11.320,2.971,95,95,8.349*,173,210,748,196,1.454
904,11,AfD,8,"Pflaum, Dominik",3,8,,10.647,3.723,1.039,407,647,357,6.924*,355,410,508
904,11,AfD,,,,,,,,,,,,,,,
904,11,AfD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,252,252,23,18,32,34,20,45,38,42
904,11,AfD,,Erststimmen insgesamt,,,,66.682,-,9.230,7.146,8.349,6.993,6.924,9.290,8.342,10.408
904,11,AfD,,Zweitstimmen insgesamt,,,,65.557,65.557,8.593,7.333,7.943,6.982,6.901,9.105,8.278,10.422
904,11,AfD,,Gesamtstimmen,,,,132.239,65.557,17.823,14.479,16.292,13.975,13.825,18.395,16.620,20.830
904,11,AfD,1,"Böhm, Martin",1,1,L,23.407,16.414,1.753,1.612,2.400,6.993*,1.894,2.122,4.318,2.315
904,11,AfD,2,"Schiffers, Jan",4,2,L,20.133,12.987,4.914,7.146*,1.312,1.414,2.193,1.073,1.203,878
904,11,AfD,3,"Köhler, Florian",7,3,,19.963,10.733,9.230*,4.213,1.107,962,1.528,752,1.023,1.148
904,11,AfD,4,"Wüst, Prof.Dr. Michael",6,4,,18.350,9.060,497,785,1.594,1.032,795,9.290*,896,3.461
904,11,AfD,5,"Kögler, Gerd",8,5,,15.339,4.931,129,85,531,85,110,3.797,194,10.408*
904,11,AfD,6,"Rauh, Detlef",2,6,,12.828,4.486,143,118,320,2.925,151,213,8.342*,616
904,11,AfD,7,"Rausch, Thomas",5,7,,11.320,2.971,95,95,8.349*,173,210,748,196,1.454
904,11,AfD,8,"Pflaum, Dominik",3,8,,10.647,3.723,1.039,407,647,357,6.924*,355,410,508
904,11,AfD,,,,,,,,,,,,,,,
904,11,AfD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,252,252,23,18,32,34,20,45,38,42
904,11,AfD,,Erststimmen insgesamt,,,,66.682,-,9.230,7.146,8.349,6.993,6.924,9.290,8.342,10.408
904,11,AfD,,Zweitstimmen insgesamt,,,,65.557,65.557,8.593,7.333,7.943,6.982,6.901,9.105,8.278,10.422
904,11,AfD,,Gesamtstimmen,,,,132.239,65.557,17.823,14.479,16.292,13.975,13.825,18.395,16.620,20.830
904,13,mut,1,"Hüttner, Michaela",1,1,,1.164,458,52,83,92,61,49,70,51,706*
904,13,mut,2,"Raithel, Christine",3,2,,905,298,34,35,607*,20,20,43,37,109
904,13,mut,3,"Fischer, Iris",2,3,,404,110,10,294*,17,6,3,6,2,66
904,13,mut,4,"Gerdom, Anne",5,4,,260,260,55,113,13,18,20,5,23,13
904,13,mut,5,"Göcking, Simone",4,5,,222,222,3,2,11,3,1,9,3,190
904,13,mut,6,"Grüner, Ursula",7,6,,198,198,3,19,132,5,6,8,6,19
904,13,mut,7,"Hersch, Cornelia",13,7,,189,189,9,8,117,12,7,8,11,17
904,13,mut,8,"Zeus, Claudia",6,8,,158,158,4,6,10,4,5,12,11,106
904,13,mut,9,"Bauer, Dietmar",9,9,,143,143,5,9,20,8,6,13,6,76
904,13,mut,10,"Pfaffenberger, Arno",8,10,,133,133,4,3,17,5,0,4,15,85
904,13,mut,11,"Kampe, Werner",16,11,,119,119,1,13,10,7,3,7,5,73
904,13,mut,12,"Prodöhl, Ramona",15,12,,103,103,8,10,51,6,3,7,3,15
904,13,mut,13,"Hoffmann, Jürgen",12,13,,99,99,1,3,2,1,4,12,3,73
904,13,mut,14,"Kraus, Martina",11,14,,96,96,23,47,4,3,5,3,6,5
904,13,mut,15,"Hüttner, Reinhard",14,15,,61,61,0,4,5,2,1,2,0,47
904,13,mut,16,"Kracke, Lutz-Benno",10,16,,33,33,4,5,5,3,0,3,1,12
904,13,mut,,,,,,,,,,,,,,,
904,13,mut,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,24,24,1,7,5,2,2,2,2,3
904,13,mut,,Erststimmen insgesamt,,,,1.607,-,-,294,607,-,-,-,-,706
904,13,mut,,Zweitstimmen insgesamt,,,,2.704,2.704,217,367,511,166,135,214,185,909
904,13,mut,,Gesamtstimmen,,,,4.311,2.704,217,661,1.118,166,135,214,185,1.615
904,13,mut,1,"Hüttner, Michaela",1,1,,1.164,458,52,83,92,61,49,70,51,706*
904,13,mut,2,"Raithel, Christine",3,2,,905,298,34,35,607*,20,20,43,37,109
904,13,mut,3,"Fischer, Iris",2,3,,404,110,10,294*,17,6,3,6,2,66
904,13,mut,4,"Gerdom, Anne",5,4,,260,260,55,113,13,18,20,5,23,13
904,13,mut,5,"Göcking, Simone",4,5,,222,222,3,2,11,3,1,9,3,190
904,13,mut,6,"Grüner, Ursula",7,6,,198,198,3,19,132,5,6,8,6,19
904,13,mut,7,"Hersch, Cornelia",13,7,,189,189,9,8,117,12,7,8,11,17
904,13,mut,8,"Zeus, Claudia",6,8,,158,158,4,6,10,4,5,12,11,106
904,13,mut,9,"Bauer, Dietmar",9,9,,143,143,5,9,20,8,6,13,6,76
904,13,mut,10,"Pfaffenberger, Arno",8,10,,133,133,4,3,17,5,0,4,15,85
904,13,mut,11,"Kampe, Werner",16,11,,119,119,1,13,10,7,3,7,5,73
904,13,mut,12,"Prodöhl, Ramona",15,12,,103,103,8,10,51,6,3,7,3,15
904,13,mut,13,"Hoffmann, Jürgen",12,13,,99,99,1,3,2,1,4,12,3,73
904,13,mut,14,"Kraus, Martina",11,14,,96,96,23,47,4,3,5,3,6,5
904,13,mut,15,"Hüttner, Reinhard",14,15,,61,61,0,4,5,2,1,2,0,47
904,13,mut,16,"Kracke, Lutz-Benno",10,16,,33,33,4,5,5,3,0,3,1,12
904,13,mut,,,,,,,,,,,,,,,
904,13,mut,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,24,24,1,7,5,2,2,2,2,3
904,13,mut,,Erststimmen insgesamt,,,,1.607,-,-,294,607,-,-,-,-,706
904,13,mut,,Zweitstimmen insgesamt,,,,2.704,2.704,217,367,511,166,135,214,185,909
904,13,mut,,Gesamtstimmen,,,,4.311,2.704,217,661,1.118,166,135,214,185,1.615
904,15,Die Partei,1,"Krumm, Julian",1,1,,2.424,2.424,155,172,543,331,198,349,258,418
904,15,Die Partei,2,"Kreten, Julian",3,2,,1.367,357,25,53,1.010*,52,125,38,25,39
904,15,Die Partei,3,"Roensch, Andreas",2,3,,1.241,456,114,785*,41,95,47,51,66,42
904,15,Die Partei,4,"Hartmann, Andreas",5,4,,994,243,11,25,34,24,19,751*,25,105
904,15,Die Partei,5,"Walter, Thilo",4,5,,592,592,88,225,53,69,42,32,49,34
