regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,301AmbergSulzbach,302Cham,303Neumarkt i.d.OPf.,304RegensburgLand,305RegensburgStadt,306Schwandorf,307Tirschenreuth,308Weideni.d.OPf.
903,2,SPD,1,"Schindler, Franz",1,L,49729,31977,6704,4001,3001,4253,6827,17752*,2605,4586
903,2,SPD,2,"Karl, Annette",2,L,28009,12743,1073,164,460,281,851,3871,6043,15266*
903,2,SPD,3,"Strobl, Reinhold",4,L,21096,3648,17448*,85,909,187,230,1062,147,1028
903,2,SPD,4,"Wild, Margit",3,L,27822,10045,722,351,789,5863,17777*,1545,247,528
903,2,SPD,5,"Hummel, Rainer",5,,15480,3642,347,51,315,11838*,1153,1600,49,127
903,2,SPD,6,"Braun, Carolin",7,,10525,1062,165,56,9463*,230,354,117,49,91
903,2,SPD,7,"Kellner, Berthold",6,,14602,4524,167,37,114,163,343,122,10078*,3578
903,2,SPD,8,"Zimmermann, Claudia",8,,9191,1555,183,7636*,199,158,256,462,111,186
903,2,SPD,9,"Meier, Sebastian",13,,3149,3149,146,1711,135,225,236,508,70,118
903,2,SPD,10,"Hildebrand, Ursula",14,,2262,2262,96,80,123,822,829,154,63,95
903,2,SPD,11,"Gäbl, Reiner",12,,3344,3344,31,30,22,26,35,374,63,2763
903,2,SPD,12,"Thanheiser, Evi",11,,4313,4313,229,31,58,40,118,3633,38,166
903,2,SPD,13,"Gabler, Andreas",16,,1807,1807,95,7,1465,132,41,30,21,16
903,2,SPD,14,"Rappert, Dr. Klaus",10,,5706,5706,197,131,310,861,3518,390,123,176
903,2,SPD,15,"Roth, Ulrich",15,,1872,1872,76,19,50,37,133,48,1290,219
903,2,SPD,16,"Rüger, Dr. Armin",9,,8183,8183,6934,49,266,172,339,181,94,148
903,2,SPD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,1025,1025,171,94,112,109,229,142,69,99
903,2,SPD,,Erststimmen insgesamt,,,107258,,17448,7636,9463,11838,17777,17752,10078,15266
903,2,SPD,,Zweitstimmen insgesamt,,,100857,100857,17336,6897,8328,13559,15492,14239,11082,13924
903,2,SPD,,Gesamtstimmen,,,208115,100857,34784,14533,17791,25397,33269,31991,21160,29190
903,3,Freie Wähler,1,"Schweiger, Tanja",1,L,30875,16050,1895,1491,2218,14825*,5846,2191,1096,1313
903,3,Freie Wähler,2,"Vetter, Dr. Karl",2,L,19114,3493,212,15621*,292,1670,314,660,155,190
903,3,Freie Wähler,3,"Hanisch, Joachim",3,,10013,1584,179,508,141,426,118,8429*,125,87
903,3,Freie Wähler,4,"Gerngroß, Hans",6,,8419,531,102,67,7888*,112,92,70,35,53
903,3,Freie Wähler,5,"Eibisch, Ely",5,,8728,1688,239,201,344,316,125,200,7040*,263
903,3,Freie Wähler,6,"Artinger, Ludwig",4,,9643,3114,106,125,202,2354,6529*,196,63,68
903,3,Freie Wähler,7,"Frank, Alois",11,,4351,4351,323,87,163,139,72,187,1272,2108
903,3,Freie Wähler,8,"Schinhammer, Dr. Silke",12,,4200,4200,3257,108,174,203,161,112,92,93
903,3,Freie Wähler,9,"Dotzler, Peter",8,,7238,439,6799*,26,70,75,80,85,33,70
903,3,Freie Wähler,10,"Neumeier, Peter",14,,2575,2575,139,66,48,64,59,2137,30,32
903,3,Freie Wähler,11,"Boeckh, Dr. Walter",16,,1613,1613,55,95,125,424,744,77,43,50
903,3,Freie Wähler,12,"Podewils von, Manuela",15,,2542,2542,42,14,34,67,32,33,2017,303
903,3,Freie Wähler,13,"Plößner, Manfred",10,,4698,1089,71,15,74,37,25,22,845,3609*
903,3,Freie Wähler,14,"Hollweck, Sieglinde",9,,5695,5695,121,79,4947,259,84,91,65,49
903,3,Freie Wähler,15,"Stangl, Johann",7,,8171,8171,45,7564,47,171,71,224,22,27
903,3,Freie Wähler,16,"Stadler, Harald",13,,3829,3829,55,77,101,3109,313,78,35,61
903,3,Freie Wähler,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,485,485,69,66,43,95,41,87,36,48
903,3,Freie Wähler,,Erststimmen insgesamt,,,70740,,6799,15621,7888,14825,6529,8429,7040,3609
903,3,Freie Wähler,,Zweitstimmen insgesamt,,,61449,61449,6910,10589,9023,9521,8177,6450,5964,4815
903,3,Freie Wähler,,Gesamtstimmen,,,132189,61449,13709,26210,16911,24346,14706,14879,13004,8424
903,4,Grüne,1,"Mistol, Jürgen",1,L,17384,9008,1308,812,1275,3204,8376*,1063,563,783
903,4,Grüne,2,"SchelzkeDeubzer, Heidrun",3,,5921,3565,201,76,263,182,2491,103,2356*,249
903,4,Grüne,3,"Bauer, Elisabeth",6,,3159,819,76,124,64,172,280,2340*,49,54
903,4,Grüne,4,"Bumes, HansJürgen",4,,5204,1384,3820*,52,169,186,629,126,98,124
903,4,Grüne,5,"West, Brigitte",5,,5170,995,70,47,67,4175*,676,60,31,44
903,4,Grüne,6,"Schlusche, Dr. Roland",2,,6262,1915,314,96,4347*,364,747,175,98,121
903,4,Grüne,7,"Schuhmacher, Sonja",7,,3094,1074,204,56,85,78,277,105,269,2020*
903,4,Grüne,8,"Christoph, Stefan",8,,2801,987,121,1814*,126,123,408,87,49,73
903,4,Grüne,9,"Baumann, Hannelore",12,,1564,1564,91,717,138,141,315,59,42,61
903,4,Grüne,10,"Schneider, Beate",16,,717,717,43,40,48,38,112,86,30,320
903,4,Grüne,11,"Stehrenberg, Johanna",9,,2187,2187,68,11,1925,33,94,18,17,21
903,4,Grüne,12,"Schropp, Dr. Eva",14,,824,824,73,21,84,339,152,132,11,12
903,4,Grüne,13,"Kunc, Margit",10,,2150,2150,25,26,30,211,1810,24,7,17
903,4,Grüne,14,"Krammer, Markus",15,,784,784,649,7,33,14,43,14,8,16
903,4,Grüne,15,"JuniecMöller, Marion",13,,1129,1129,57,13,11,15,30,966,7,30
903,4,Grüne,16,"Rauh, Elisabeth",11,,1803,1803,124,59,138,153,343,81,727,178
903,4,Grüne,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,371,371,55,21,43,46,139,25,22,20
903,4,Grüne,,Erststimmen insgesamt,,,29248,,3820,1814,4347,4175,8376,2340,2356,2020
903,4,Grüne,,Zweitstimmen insgesamt,,,31276,31276,3479,2178,4499,5299,8546,3124,2028,2123
903,4,Grüne,,Gesamtstimmen,,,60524,31276,7299,3992,8846,9474,16922,5464,4384,4143
903,5,FDP,1,"Lechte, Ulrich",1,,4989,2759,388,285,394,789,2230*,356,248,299
903,5,FDP,2,"Skutella, Christoph",2,,2501,1117,91,35,51,74,682,65,119,1384*
903,5,FDP,3,"Ott, Reinhard",3,,1838,486,1352*,31,40,61,196,51,41,66
903,5,FDP,4,"Pietz, Hans",16,,370,370,27,34,8,19,19,209,8,46
903,5,FDP,5,"Gruber, Petra",14,,445,445,37,147,31,72,66,37,24,31
903,5,FDP,6,"Kremser, Reinhard",13,,498,498,32,18,64,181,156,20,10,17
903,5,FDP,7,"Dischinger, Thomas",7,,1112,559,22,18,26,113,332,25,553*,23
903,5,FDP,8,"Fries, Josef",5,,1310,387,51,923*,35,60,128,49,27,37
903,5,FDP,9,"Pauly, Sebastian",11,,626,626,61,17,19,25,37,35,84,348
903,5,FDP,10,"Taubmann, Kilian",10,,643,643,556,6,15,7,24,6,14,15
903,5,FDP,11,"Streibl, Michael",9,,671,671,22,26,18,137,411,35,8,14
903,5,FDP,12,"Salzer, Roman",12,,575,575,23,17,401,20,77,17,7,13
903,5,FDP,13,"Musil, Manfred",8,,893,119,23,20,9,14,31,774*,8,14
903,5,FDP,14,"Meyer, Lukas",4,,1497,160,22,12,28,1337*,48,37,5,8
903,5,FDP,15,"Schreml, Elisabeth",15,,428,428,48,11,18,31,40,11,223,46
903,5,FDP,16,"Pomsel, Enrico",6,,1276,175,47,15,1101*,24,46,13,13,17
903,5,FDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,157,157,27,17,18,17,41,18,8,11
903,5,FDP,,Erststimmen insgesamt,,,9654,,1352,923,1101,1337,2230,774,553,1384
903,5,FDP,,Zweitstimmen insgesamt,,,10175,10175,1477,709,1175,1644,2334,984,847,1005
903,5,FDP,,Gesamtstimmen,,,19829,10175,2829,1632,2276,2981,4564,1758,1400,2389
903,6,Die Linke,1,"Kaschner, Heidi",1,,4174,2969,593,315,350,397,800,1205*,232,282
903,6,Die Linke,2,"Braun, Gabriele",2,,3936,1894,176,177,226,497,2042*,633,76,109
903,6,Die Linke,3,"Färber, Viera",3,,2304,1218,236,104,114,98,238,128,300,1086*
903,6,Die Linke,4,"Rutenberg, Boris",6,,1668,1668,198,98,90,87,207,182,260,546
903,6,Die Linke,5,"Berndt, Wolfgang",4,,2280,593,1687*,56,117,56,162,102,51,49
903,6,Die Linke,6,"Moll, Peter",5,,1778,526,41,46,40,1252*,297,42,23,37
903,6,Die Linke,7,"Stoiber, Siegfried",9,,1147,251,35,896*,38,39,61,52,9,17
903,6,Die Linke,8,"Bolchovitinov, Martin",8,,1433,428,80,32,45,47,99,38,1005*,87
903,6,Die Linke,9,"Finsterer, Norbert",7,,1463,215,43,24,1248*,40,42,34,11,21
903,6,Die Linke,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,88,88,21,3,6,9,22,5,7,15
903,6,Die Linke,,Erststimmen insgesamt,,,10421,,1687,896,1248,1252,2042,1205,1005,1086
903,6,Die Linke,,Zweitstimmen insgesamt,,,9850,9850,1423,855,1026,1270,1928,1216,969,1163
903,6,Die Linke,,Gesamtstimmen,,,20271,9850,3110,1751,2274,2522,3970,2421,1974,2249
903,7,ÖDP,1,"Mrasek, Klaus",3,,3998,1977,2021*,165,345,313,424,387,142,201
903,7,ÖDP,2,"Kimmerl, Arnold",2,,4361,893,430,46,45,56,86,3468*,40,190
903,7,ÖDP,3,"Kindl, Dr. Barbara",5,,2636,992,98,59,71,107,196,356,105,1644*
903,7,ÖDP,4,"Lamby, Astrid",4,,3339,918,35,39,54,670,2421*,63,20,37
903,7,ÖDP,5,"Erös, Dr. Reinhard",1,,4663,2208,286,136,117,2455*,901,328,207,233
903,7,ÖDP,6,"Riederer, Sepp",6,,1541,434,43,1107*,52,90,103,91,21,34
903,7,ÖDP,7,"Neumeyer, Josef",8,,1360,147,23,16,1213*,33,43,20,8,4
903,7,ÖDP,8,"Kunz, Theresia",7,,1413,398,38,19,36,54,111,31,1015*,109
903,7,ÖDP,9,"Schindler, Ursula",13,,619,619,60,23,38,77,87,297,14,23
903,7,ÖDP,10,"Strohmeier, Alfred Johann",16,,306,306,6,4,9,75,195,9,6,2
903,7,ÖDP,11,"Wiesend, Rita",14,,603,603,46,12,16,29,35,32,325,108
903,7,ÖDP,12,"Schmid, Dr. Christian",10,,939,939,841,11,5,20,22,15,6,19
903,7,ÖDP,13,"Wiest, Claudia",9,,1347,1347,41,45,42,806,344,26,14,29
903,7,ÖDP,14,"Winter, Adolf",15,,418,418,10,8,387,1,2,2,4,4
903,7,ÖDP,15,"Lausser, Richard",12,,699,699,39,348,70,54,65,69,20,34
903,7,ÖDP,16,"Badura, Franz",11,,808,808,658,11,22,17,35,37,10,18
903,7,ÖDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,93,93,13,5,10,11,21,8,9,16
903,7,ÖDP,,Erststimmen insgesamt,,,15344,,2021,1107,1213,2455,2421,3468,1015,1644
903,7,ÖDP,,Zweitstimmen insgesamt,,,13799,13799,2667,947,1319,2413,2670,1771,951,1061
903,7,ÖDP,,Gesamtstimmen,,,29143,13799,4688,2054,2532,4868,5091,5239,1966,2705
903,8,REP,1,"Löw, Roland",1,,1591,1205,210,191,128,269,386*,169,138,100
903,8,REP,2,"Amann, Fritz",2,,991,611,47,380*,50,235,160,79,25,15
903,8,REP,3,"Lederer, Robert",4,,875,166,25,39,15,709*,32,33,15,7
903,8,REP,4,"Hofmeister, Otto",5,,833,526,36,46,26,279,37,88,307*,14
903,8,REP,5,"Schäffer, Horst",7,,592,181,18,15,12,95,25,411*,10,6
903,8,REP,6,"Wanninger, Manfred",6,,652,111,541*,7,26,11,16,20,11,20
903,8,REP,7,"Michl, Reinhard",8,,559,302,30,38,35,60,97,22,20,257*
903,8,REP,8,"Meixner, Karl",3,,908,612,62,37,296*,35,24,68,136,250
903,8,REP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,32,32,5,3,2,7,7,4,2,2
903,8,REP,,Erststimmen insgesamt,,,3287,,541,380,296,709,386,411,307,257
903,8,REP,,Zweitstimmen insgesamt,,,3746,3746,433,376,294,991,398,483,357,414
903,8,REP,,Gesamtstimmen,,,7033,3746,974,756,590,1700,784,894,664,671
903,9,Bayern Partei,1,"Klenhart, Heidrich",1,,3000,2198,352,231,802*,297,228,381,280,429
903,9,Bayern Partei,2,"Schröder, Patrick",2,,2513,1360,213,67,338,111,53,193,385,1153*
903,9,Bayern Partei,3,"Schebeske, Mario",4,,1393,594,59,58,198,799*,44,61,55,119
903,9,Bayern Partei,4,"Machner, Karin",7,,953,471,47,88,34,147,482*,66,25,64
903,9,Bayern Partei,5,"Huger, Günter",5,,1155,361,794*,19,19,33,35,155,24,76
903,9,Bayern Partei,6,"Merl, Harald",3,,1686,697,111,108,31,155,76,989*,40,176
903,9,Bayern Partei,7,"Meier, Michael",6,,1063,293,25,25,150,24,14,18,770*,37
903,9,Bayern Partei,8,"Riehl, Franz Xaver",8,,830,264,39,566*,119,41,15,13,15,22
903,9,Bayern Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,39,39,3,2,1,11,1,3,6,12
903,9,Bayern Partei,,Erststimmen insgesamt,,,6355,,794,566,802,799,482,989,770,1153
903,9,Bayern Partei,,Zweitstimmen insgesamt,,,6277,6277,849,598,890,819,466,890,830,935
903,9,Bayern Partei,,Gesamtstimmen,,,12632,6277,1643,1164,1692,1618,948,1879,1600,2088
903,10,BüSo,1,"Bäumler, Leo",1,,3839,2538,408,208,242,392,248,601,439,1301*
903,10,BüSo,2,"Silberhorn, Konrad",4,,2184,965,73,42,71,394,1219*,111,31,243
903,10,BüSo,3,"Volkholz, Christine",7,,1762,252,43,1510*,20,40,38,52,18,41
903,10,BüSo,4,"Grabinger, Reinhard",2,,3111,762,289,78,40,103,48,2349*,62,142
903,10,BüSo,5,"Suttner, Werner",3,,2215,283,46,23,33,1932*,66,48,23,44
903,10,BüSo,6,"Witt, Fritz",6,,1779,527,66,43,47,86,41,76,1252*,168
903,10,BüSo,7,"Weiß, Georg",8,,1367,354,70,27,1013*,48,48,75,43,43
903,10,BüSo,8,"Mrozek, Markus",5,,1937,368,1569*,16,44,26,22,125,46,89
903,10,BüSo,9,"Eberhardt, Peter",13,,616,616,51,5,8,46,22,449,17,18
903,10,BüSo,10,"Graßl, Alois",15,,418,418,18,40,14,155,148,28,7,8
903,10,BüSo,11,"Pongratz, Helga",10,,952,952,75,437,51,93,69,90,60,77
903,10,BüSo,12,"Schramm, Erich",14,,469,469,24,9,34,122,214,37,19,10
903,10,BüSo,13,"Zierl, Max",16,,409,409,13,33,23,103,163,33,22,19
903,10,BüSo,14,"Sinnesbichler, Lothar",12,,660,660,65,12,482,16,11,19,22,33
903,10,BüSo,15,"Späth, Alois",9,,1030,1030,19,930,11,5,6,46,4,9
903,10,BüSo,16,"Karl, Peter",11,,847,847,63,44,60,361,102,100,58,59
903,10,BüSo,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,72,72,18,10,5,14,13,5,3,4
903,10,BüSo,,Erststimmen insgesamt,,,12145,,1569,1510,1013,1932,1219,2349,1252,1301
903,10,BüSo,,Zweitstimmen insgesamt,,,11522,11522,1341,1957,1185,2004,1259,1895,874,1007
903,10,BüSo,,Gesamtstimmen,,,23667,11522,2910,3467,2198,3936,2478,4244,2126,2308
903,11,Die Freiheit,1,"Pirk, Benedikt",1,,4168,2312,389,303,388,529,1856*,251,183,269
903,11,Die Freiheit,2,"Will, Thoralf",2,,2426,1112,60,48,86,1314*,774,69,34,41
903,11,Die Freiheit,3,"Huger, Mark",3,,2215,643,171,63,1572*,92,143,49,55,70
903,11,Die Freiheit,4,"Widiger, Anna",7,,1243,1243,176,87,192,190,335,112,57,94
903,11,Die Freiheit,5,"Honé, Ansgar",4,,2116,583,1533*,37,131,63,131,77,37,107
903,11,Die Freiheit,6,"Pohlenk, Dominique",8,,1077,1077,123,74,135,184,346,82,62,71
903,11,Die Freiheit,7,"Allgäuer, Klaus Christian",11,,837,119,19,14,23,10,19,13,718*,21
903,11,Die Freiheit,8,"Ferstl, Alexander",5,,1289,185,47,23,19,31,30,1104*,10,25
903,11,Die Freiheit,9,"Prüter, Thomas",6,,1277,264,72,11,26,9,14,26,106,1013*
903,11,Die Freiheit,10,"Kellner, Marco",14,,352,352,31,21,69,68,95,21,24,23
903,11,Die Freiheit,11,"Lang, Peter",13,,507,507,74,39,20,11,19,289,10,45
903,11,Die Freiheit,12,"Möller, KlausPeter",15,,279,279,22,6,13,15,10,188,10,15
903,11,Die Freiheit,13,"Lauton, Dennis",10,,889,889,103,51,78,66,93,65,312,121
903,11,Die Freiheit,14,"Schütz, Markus",9,,1037,155,27,882*,26,21,35,20,7,19
903,11,Die Freiheit,15,"Laaser, Dr. Walter",12,,688,688,74,31,146,156,142,43,31,65
903,11,Die Freiheit,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,87,87,13,8,17,10,22,8,4,5
903,11,Die Freiheit,,Erststimmen insgesamt,,,9992,,1533,882,1572,1314,1856,1104,718,1013
903,11,Die Freiheit,,Zweitstimmen insgesamt,,,10495,10495,1401,816,1369,1455,2208,1313,942,991
903,11,Die Freiheit,,Gesamtstimmen,,,20487,10495,2934,1698,2941,2769,4064,2417,1660,2004
